articleWordCount,headline,snippet
1779,Do Nike’s New Shoes Provide an Unfair Edge?,Nike’s new designs have produced impressive results in international races. But they have spurred another debate about what constitutes an unfair edge.
4512,"Years of Questions, but Researcher Gets a Pass","Dr. Carlo Croce was repeatedly cleared by Ohio State University, which reaped millions from his grants. Now, he faces new whistle-blower accusations."
1630,"Searching for Adventure, and Dentistry","The Frugal Family heads to Thailand and learns why a surprising number of people travel abroad to get fillings and crowns, whitening and implants."
211,How to Be Mindful on the Subway,"Make your commute a pleasant, stress-free experience."
933,"Warm-Ups, Cool-Downs, What Works, What Doesn’t","A rigorous warm-up can keep you running smoothly, whereas a popular cool-down technique may just leave you cold."
1342,New York Today: Workout Tips From Top Trainers,"Wednesday: Advice from fitness instructors, International Women’s Day, and a lesson on orchids."
424,Chinese Media Report as Fact a Satire in the New Yorker on White House Antics,"Several publications, quoting a satirical New Yorker piece as factual, reported a frantic President Trump, wearing a bathrobe, worried about eavesdropping."
838,More Than Just Marines Behaving Badly,"To curb the harassment and denigration of servicewomen, male and female recruits should go through boot camp together."
1214,"A Strike by Women, but Turnout Is Modest","The demonstration on Wednesday, in which women skipped work, wore red and refused to spend money, drew far smaller crowds than the Women’s Marches in January."
1503,In the Air Over Vietnam,Flying high above a combat zone helped me understand what was happening on the ground.
1801,Trump’s Family Still Benefiting From Businesses,The White House released ethics filings from President Trump’s daughter and son-in-law and released details of a plan devised to avoid conflicts of interest.
891,Closing Rikers Island Is a Moral Imperative,"Rikers Island is isolated, inhumane and violent. It should be replaced by smaller borough-based jails."
601,Obamacare Choices Could Go From One to Zero in Some Areas,An Anthem departure would leave coverage gaps in substantial parts of several states.
1211,"After the Surge,What’s Next?",Tina Brown says the women’s movement still has a lot of momentum and may return to the broader purposes of its earlier days: family and economic issues.
1480,How to Throw a Baseball,"On opening weekend, a bit of advice: To hit your target, don’t aim."
1057,"As the Market Charges, Caution Signals Blink","Stocks are expensive, and many people know it. That could mean trouble down the road."
429,Roasting Carrots for Sweetness and Color,"The root vegetables shed their image as a kitchen workhorse and take a starring role in this simple, tangy salad."
722,Trump Is Right: Give Michael Flynn Immunity,"Did Americans in positions of power betray their country? We need to know, as soon as possible."
1057,‘The Walking Dead’: Will the Season Finale Make Everyone Mad Again?,"After 15 weeks of zombie mayhem, sociopolitical metaphors and undiluted Daryl funk, the show will wrap up Season 7 on Sunday."
1420,The New York Times vs. the ‘Great Firewall’ of China,Few people know the struggle and angst that put two Chinese characters at the top of our home page.
675,Good Old Days of Supreme Court Nominations? They Don’t Exist.,Think the political fight over Judge Neil M. Gorsuch is ugly? Take a look at The Times’s coverage of Supreme Court nominees who met the buzz saw.
1121,Do Millennial Men Want Stay-at-Home Wives?,"New research indicates a stall, maybe even a retreat, in the movement toward gender equality."
1246,The Face of Miscarriage,"As she ran an ultrasound wand over my tummy, she became silent. I knew already. My baby was gone."
322,Teaching With: ‘Crossing Cultures: Black K-Pop Fans in America’,"In this video, Times journalists at a BTS concert in Newark explore what draws so many black fans to Korean pop music."
1574,Hints of ‘Scary’ Shift: India May Be Rethinking Ban on Nuclear First Strikes,Indian leaders are thought to be pondering pre-emptive strikes against the Pakistani arsenal in the event of war. That could alter a tenuous balance of power.
113,Behind the Cover: 4.2.17,"For this week’s issue, a layered portrait of the president."
1386,"Girls Go Missing, and Washington’s Racial Divide Grows Wider","While there is no surge in disappearances of children in the nation’s capital, the problems facing at-risk youth have often been ignored."
1525,Pack the Box. Leave the Stress.,"Moving is never easy, but there are some easy ways to reduce the stress."
1272,Friday Mailbag: Reforming the Use of ‘Reform’,Should The Times use “reform” sparingly? And did an obituary play down a man’s experience with discrimination?
1327,At Root of Battle Over the Court Nominee: ‘They Started It’,"The fight over President Trump’s Supreme Court nominee reflects years of creeping institutional shifts, partisan tensions and hypocritical arguments."
110,8. I Love Wine!,Selected by Matthew Zapruder.
598,Should You Always Have the Right to Wear What You Want?,"Do dress codes make you feel special and respected, constrained and prevented from expressing your individuality, or some other feeling?"
852,The Parrot in Trump’s America,Trump’s embrace of Putin is a moral abdication so great it has stripped America’s alliances of their foundation.
308,"Questions for: ‘Pillars of the West Shaken by ‘Brexit,’ but They’re Not Crumbling Yet’","Will Brexit be a success, as Prime Minister Theresa May hopes it will?"
1901,The Border Town,The rumors about checkpoints and raids travel fast. Some of them might even be true.
809,Coal Country Is a State of Mind,Will nostalgia for a much-shrunken industry destroy the planet?
916,"Climate Progress, Without Trump","Don’t overestimate Washington’s influence on energy markets, or underestimate the role of cities, states, businesses and consumers in cutting emissions."
856,The Strange  Persistence of Guilt,"American life has secularized and grand political ideologies have fallen away, but moral conflict has only intensified."
79,YouTube Stars,Who are your favorite YouTube stars? Which ones deserve a wider audience?
686,Soda or Bear Claw? Panera to Post Added Sugar in Drinks It Sells,Panera Bread appears to be the first major restaurant chain to offer its customers information about the amount of added sugar in the beverages it sells.
596,Wild Thing,David C. Duncan Dekker returns with another pangram.
1286,Final Four Contenders Reflect Thinning Ranks of Female Coaches,"When Title IX, a gender equity law, was enacted in 1972, more than 90 percent of head coaches of women’s college teams were women. It’s now about 40 percent."
273,Bread Crumbs Scattered on the Sidewalk,Chatting with a neighbor while she feeds pigeons on an Upper East Side block.
713,War on ISIS Puts Civilians in Crossfire,A rising death toll raises concerns that President Trump’s approach to counterterrorism puts too many noncombatants at risk.
946,"No ‘Inner City’ Here, Just Overlooked Strengths",The Brooklyn neighborhood synonymous with poverty is working to remake itself without giving in to the forces of gentrification.
752,Pathos Times Two: A Double Dose of Inge,"The 1950s plays “Picnic” and “Come Back, Little Sheba,” in repertory revivals at the Gym at Judson, capture the playwright’s gift for understatement."
575,A Warrior Leans on Shakespeare,Stephan Wolfert describes his experiences during and after the Persian Gulf war of 1991 in this autobiographical solo show.
369,Ignore the Reputation,"Sparkling red wine may seem odd, but made in the traditional manner of Emilia-Romagna, this Italian red is joyous, delicious and refreshing."
1268,The Introverted Extrovert,These little-known red wines from the Galicia region of Spain manage to be both exuberant and restrained.
1386,Trump Aides Gave Reports to Head of House Inquiry,"The revelation fueled criticism that Representative Devin Nunes has been too eager to do the White House’s bidding, not run an independent investigation"
760,"Bangladeshi Bites, Lost and Found","A restaurant serving South Asian dishes reopens in the Bronx, inside another with a resolutely American menu."
196,Risks: Hepatitis Tied to Parkinson’s,People with hepatitis B or hepatitis C were more likely to have Parkinson’s disease.
208,Aging: Healthy Gums for Longevity,"Older women with gum disease or tooth loss are at increased risk of dying early, researchers report."
1234,"After Calling Nafta ‘Worst Trade Deal,’ Trump Appears to Soften Stance","The White House will propose keeping major planks of Nafta in place, while signing orders that lay the groundwork for stricter enforcement of trade laws."
995,The Haves and Have-Nots of Cancer Care,Prevention and early detection should not be bonuses available only to those who can pay for expensive medical coverage.
1333,Hard-Liners Dismiss Salvo by President,"The president came out swinging against the group’s members on Twitter, suggesting Republicans should “fight them” in the 2018 midterms if they do not back his agenda."
4732,"Summer Is Still Endless, Even After All These Years","A broadcaster, an umpire, a coach. And three players. Together, they have logged nearly 200 seasons in the majors, and they’re still going."
979,Loving Robo Cat Needs Home,Those mechanical cats that bring joy to those in nursing homes? Not everybody is fooled.
1037,DHA and Babies’ Brains,"Adding DHA, an omega-3 fatty acid, to infant formula or prenatal supplements doesn’t improve babies’ brain development, recent reviews have found."
1188,"New York Today: Police and Teens, Connecting","Thursday: Operation Conversation, a notable New Yorker, and a blog for bikers."
1258,"More Tourists, a Few Tears and Plenty of Soul-Searching","In a shifting civic landscape, the statue is re-emerging as resonant symbol amid a polarizing debate about immigration."
1199,Unease Among Scientists as Desks Stand Empty in White House Technology Office,"Scores of scientists and technology experts have left the White House, and conservatives — and the president — have questioned whether they need to be replaced."
955,Life Magazine,A youthful love of its articles and photographs led the writer to a life of travel — and to an unexpected encounter with a fellow adventurer.
787,Larger Than Life,"Jim Harrison’s appetite was legendary. His recipe ought to be, too."
4763,Apostates Anonymous,Young adults who decide to abandon their cloistered Jewish communities have only one another — and a single organization — to help them navigate the alternate reality of modern-day New York.
543,What Specialty College Would You Create?,What are the benefits to a college or university that highly specializes?
1006,Politics Infuses the Arts in a Dejected Hong Kong,"Some recent works by local artists are more overtly political than others, but many suggest a sense of helplessness toward what is widely seen as Beijing’s tightening grip."
370,Questions for: ‘Trump’s Executive Order Pushes the U.S. Climate Pledge Further Out of Reach’,Is President Trump’s executive order to roll back climate pledges a wise move for the United States? Why or why not?
1318,When the President Is Ignorant of His Own Ignorance,"We face precisely the kind of world Donald Trump is least equipped for, mentally and morally."
812,Trump Remembers the Ladies,A celebration for Women’s History Month in an administration where women are rare.
928,We Don’t Need Another Party of ‘No’,America doesn’t have room for two parties of “no.”
811,President  Trump vs.  Big Bird,To value the humanities and the arts isn’t wimpish or elitist. It’s civilized.
86,Your Five Senses,"Which of your five senses — sight, hearing, taste, touch or smell — would you say is your most developed? Which is your least developed?"
733,As We Live and Breathe,"While we might check the weather every morning, these reporters check the Air Quality Index."
1018,"‘Legion,’ Season 1 Finale: The Dork Side of the Moon","Despite all the surreal, spacey visuals and structure, what this episode really needed — and the season in general — was a little more care."
728,North Carolina Reaches Compromise to Repeal Restrictive Bathroom Law,The law had elicited an outcry from liberals and businesses that said it allowed discrimination against transgender individuals.
995,Dramatic Ending,Lewis Rothlein returns to impress us.
1816,"U.S. War Footprint Grows, With No Endgame in Sight","Two months after President Trump took office, indications are mounting that the military is deepening its involvement in complex wars that lack clear outcomes."
693,Ignoring Diplomacy’s Promise,"President Trump’s proposal to slash State Department and foreign aid funding is misguided, as diplomacy can prevent conflicts and build alliances."
258,Looking for a Lost Child on the Train,Getting caught up in a subway search.
1294,2 Senators Vow Firmer Inquiry as House Flails,"The top Republican and Democrat on the committee pledged to forge ahead, while seeking to distance themselves from the troubled House inquiry."
1375,Gymnastics Is Too Slow to Confront Sex Abuse,A doctor is accused of molesting dozens of young gymnasts. Now a senator is calling for an investigation into “who knew what and when.”
859,More Women With Breast Cancer Opt to Remove Healthy Breast,"One in three breast cancer patients under 45 in 2012 removed the healthy breast along with the breast affected by cancer, a new study found."
1407,"Britain Initiates ‘Brexit,’ Wading Into Thorny Divorce From E.U.","Prime Minister Theresa May gave notice of Britain’s withdrawal from the European Union, kicking off a two-year negotiation steeped in peril for both sides."
1084,Therapists Offer Strategies for Postelection Stress,How to follow the news in a political age of anxiety.
868,Dancing May Help Mental Abilities,Moving and socializing appears to perk up the aging brain.
1220,New York Today: Much Ado About Tattoos,"Wednesday: Tracing tattoo history, tap dancing through Midtown and commemorating women’s suffrage."
254,How to Be Mindful on a Hike,Learn how to tune in to yourself and the world around you on your next hike.
1231,Anti-Trump Test in Georgia,The contest to fill Tom Price’s vacant congressional seat is an early test of whether Democrats can make use of President Trump’s unpopularity.
1554,What Cold War Intrigue Can Tell Us  About the Trump-Russia Inquiry,"Events rooted in 1985, which became known as the Year of the Spy, in some ways mirror those that were set in motion during the 2016 presidential election."
1187,My Friend Is Bankrupting Herself. Should I Speak Up?,"The magazine’s Ethicist columnist on whether to tell your friend you think she is being used for her money, and more."
4446,The Code Rush,Hospitals have learned to manipulate medical codes — often resulting in mind-boggling bills.
538,How Well Do You Sleep?,Should more medical practitioners use light therapy to fix mood disorders?
692,Phillipa Soo Doesn’t Leave It All Onstage,The Broadway actress on playing Eliza Hamilton and performing for the Obamas.
920,Is Obamacare a Lifesaver?,So far the evidence is conspicuously missing.
324,Questions for: ‘Can Programs That Help the Military Save the Federal Arts Agencies?’,"What does art therapy do, and how does it help trauma victims?"
978,Trump Is  an Agent of the Chinese,Ignoring climate change and the benefits of clean energy only helps a rival.
806,Devin Nunes Is Dangerous,He’s so deep in the tank for Donald Trump that he needs scuba gear.
1113,TKT,"After my accident, I learned firsthand how civic dysfunction can disenfranchise the vulnerable."
81,Shredding,What do you think the image is saying? How does it relate to and comment on something happening in the world right now?
948,"‘The Americans’ Season 5, Episode 4: Working Through the Kinks",Sex in the service of the motherland isn’t as easy as it used to be.
1019,F.D.A. Approves a Drug  to Treat a Severe Form of Multiple Sclerosis,"The drug, Ocrevus by Genentech, can also be used to treat patients with the more common form of the disease."
525,Crisis Time,Here’s hoping Jules Markey’s crisis isn’t too bad.
1105,Money Talks. End of Conversation.,"The Raiders’ move from Oakland to Las Vegas, which has no real football tradition, feels like the money grab it is."
704,President Trump Risks the Planet,Reversing President Obama’s climate policies will raise emissions and undercut America’s claim to leadership on the issue of global warming.
1108,"Still Hungry, West of the Atlantic","After being snubbed by the team’s new manager, Schweinsteiger, a German midfielder, stayed positive. His persistence paid off, and he landed with M.L.S.’s Chicago Fire."
1214,Policy’s Promise for Coal Power Has Its Limits,"Reversing clean power rules may lead to more drilling and pipelines, but economics and state initiatives still favor natural gas and renewable energy."
104,"It’s Darwin, Not Stalin",A dog named for one historical figure is called by the name of another.
778,Where You Can’t Drive Fast  Anymore on the Parkway,"A 25-mile-per-hour speed limit seems to have reduced accidents on Ocean Parkway. Nevertheless, the hassle of the slower speed has moved a Brooklyn power broker to act."
1099,"Investing Giant Casts Its Lot With Machine, Not Human, Minds",BlackRock is merging many actively managed mutual funds with peers that rely more on algorithms and models to pick stocks.
1607,Stop. Sniff. Listen.,"Learn to listen to your food as it cooks, and to rely on your senses of touch and smell."
315,10 Ways to Sharpen Your Kitchen Senses,"Become a better cook by learning to rely on all five senses in the kitchen: not just sight and taste, but hearing, touch and smell."
931,The Image of Emmett Till,What would his mother have thought of the painting at the Whitney Biennial?
574,What Trump and Obama Have in Common,They believe their own P.R.
909,A Rabbi Walks Into a Bar … and Enforces the Law,"For Jews in Jerusalem and around the world who wonder whether their cocktail is kosher, Rabbi Shmouel Semelman is the go-to guy."
1118,Trump Signs Rule to Block Efforts on Aiding Climate,"Flanked by coal miners at the Environmental Protection Agency, President Trump signed an order directing the agency to start the process of rewriting the Clean Power Plan."
1562,L.P.G.A. Tour and Trump: It’s Complicated,"The picture that L.P.G.A. golfers paint of the president as a respectful supporter of women stands in contrast to his record of speaking about women in degrading terms, our columnist writes."
1066,We’ll Always Have Paris,"Like Keith McNally’s other French restaurants, this new one is a lovely realm of nostalgia and unfussy food."
1155,Repeal Effort Is Reborn Days After Quick Death,"Under pressure from conservative activists, House Republican leaders and the White House say they have restarted negotiations."
210,Money: Spending More Doesn’t Help,"Doctors who tend to spend more in treating hospitalized patients do not get better results than those who spend less, a new study has found."
552,A Majestic New Home for Nobu,"After 23 Years in TriBeCa, the innovative Japanese restaurant chain will move its nerve center next week to a grand space in the financial district."
1043,Evidence That Robots Are Winning the Race for American Jobs,Researchers are surprised to see very little employment increase in other occupations to offset the job losses in manufacturing.
731,When Readers Write Back,"Despite the many competing platforms that now allow for the public airing of opinions and grievances, The Times’s letters section is as robust a forum as ever."
136,"Weekly News Quiz | March 21-27, 2017",Have you been following the news? Take our quiz to see what you know and to learn more.
270,Questions for: ‘Who Killed the Iceman? Clues Emerge in a Very Cold Case’,"What can forensic scientists tell us about a 5,000-year-old mummy, and about human nature in general?"
544,Are You More of a Leader or a Follower?,Are the qualities and characteristics of a good follower undervalued and unappreciated?
1193,New York Today: Rooting Out Rats,"Tuesday: Return of the Rat Reservoir, stormy weather, and what lies beneath our highways."
1391,"Reading, Math and Sushi: Cooking as a Health Lesson",Updating home ec class with Caribbean chicken guisado and black-bean brownies.
1484,Turnout Was Not Driver of Clinton’s Defeat,"Persuasion was a far bigger factor. To the extent Democratic turnout was weak, it was mainly among blacks, but that weakness has been exaggerated."
2674,Slowing Down on St. John,"Rush, and you’ll miss hidden beaches, food trucks and one of the most elegant resorts in the Caribbean. Here’s how to find them."
2155,"Accordions, Étouffée and a Whole Lot of Dancing","In Breaux Bridge and Lafayette, La., music is the magnet — the Festival International de Louisiane is scheduled for April. Boudin is on the menu too."
4538,Radical Ambition,The former Islamist has started a foundation to combat extremism among Muslims — and has made a lot of enemies in the process.
1424,Identity Theft,"Online, where information is power, we’re all at risk of being exposed as vulnerable, ignorant or worse."
306,"New Sentences: From ‘Night Sky With Exit Wounds,’ by Ocean Vuong",A comedic structure stretches how we imagine the agonies of love.
836,The offender of the free world,Truculent Trump has abdicated responsibility. Europe must step into the void.
844,Can Elephants Learn From Failure?,"After the health care debacle, Republicans desperately need a win. Moreover, they are massively underestimating how hard tax reform is going to be."
880,The Other Presidential Vote that Got Rick Perry’s Attention,The energy secretary complained that students colluded to advance “diversity” over democracy at Texas A&M.
728,Pushing Obamacare Over the Cliff,President Trump has said Obamacare might collapse. But it would probably take some pushing by his administration for that to happen.
883,Respect Your Cat  (Not That It Cares),"Don’t patronize them, fear them. And for God’s sake don’t eat them."
813,Republicans for Single-Payer Health Care,"If Trump explodes private markets, socialized medicine will ultimately grow."
71,Steps in a Day,How many do you think you take? Could you build in even more? How?
1056,Mixed Results for Testosterone,"Millions of men get treatments for “low T,” though efficacy is limited and evidence of its safety is lacking."
925,Rollback of Climate Rules Unlikely to Achieve All of Its Goals,Energy economists say the executive order is likely to fall far short on the president’s goals of increasing the nation’s “energy independence” and restoring lost coal mining jobs.
991,The Business of Ripping Out the Heart of Oakland,"Las Vegas was willing to offer a $750 million public subsidy to gain the Raiders, even as school class sizes had to be increased for lack of funds."
788,John Leguizamo in Nutty Professor Mode,"In this harshly funny performance piece, a stand-up artist translates thoughts about Latino history into hyperkinetic action."
366,When You Smell Flowers,Ryan Milligan returns with a familiar form of wordplay.
1327,Youths Shed Their Apathy and Startle the Kremlin,"The youthfulness of the anticorruption protesters across Russia this weekend surprised even organizers, and clearly rattled the government of Vladimir V. Putin."
632,"Paul Ryan, Brought Down to Size",His defeat on health care proved what many have known: His reputation as a big thinker was hollow.
82,Brunch at Sarabeth’s With Aunt Dotty From Madbury,"Catching up, sort of, with a relative who can’t hear so well."
1138,A Lifeline for Veterans,Backers cite projects like expanding arts therapy for veterans to rebut calls for defunding the agencies.
1000,"‘The Good Fight’ Season 1, Episode 7 Recap: Quandaries","Maia’s divided loyalties control the future of Reddick, Boseman & Kolstad."
210,Doctors; Pay Drives Decision to Operate,Patients in a fee-for-service system were 63 percent more likely to have surgery than those in system where doctors got a salary.
1429,Health Groups Unite to Oppose Republican Bill,"Influential medical groups warned that the plan would lead to a rise in the uninsured, leaving House Republicans scrambling to marshal support."
237,Eat; Morning People Eat Better,Morning people may instinctively choose a healthier diet than night owls do.
267,A Girl Stands Firm on Wall Street,The bronze statue facing down the charging bull reminds us of the power of resistance.
1158,Worried About Hacking? One Word: Update,"Want to protect against surveillance through your iPhones, Android devices, Wi-Fi routers and Samsung televisions? Update, update, update."
1036,A Mighty Comeback  Shakes a Continent,Sergi Roberto scored in stoppage time to cap a remarkable 6-5 aggregate victory and bring his team a berth in the quarterfinals.
1243,The Biennial: A User’s Guide,"Somewhat smaller but more focused than in recent years, the 78th edition of the biennial has diversity, political conviction and many canvases."
185,A Nice Way to Start the Day,A compliment elicits a crooked smile.
1231,Fury Over Brooklyn Shelter Reflects Difficulty of Curbing Homelessness,"As Mayor Bill de Blasio’s homeless plan starts to take root in neighborhoods across the city, Crown Heights residents reflect the uphill battle."
725,Missing in Action on Immigration,The homeland security chief once seemed to understand how misguided the administration’s policies would be.
845,"Trump Isn’t Target of Any Inquiry, Aides Say","The statement reinforced a conundrum: Either the president’s assertions that President Barack Obama wiretapped him are baseless, or he may have implicated himself in a government investigation."
732,"The Green, Green Grass of Orbiting Mercury",This new song cycle by Ethan Lipton (“No Place to Go”) imagines a relocation to a spot across the solar system.
856,Uncomfortably Close to Home,Jeremy Newton makes us consider life choices.
1271,"‘Legion’ Season 1, Episode 5: Running With the Devil","Swashbuckling is nice and all, but sometimes a good superhero story just wants to scare the pants off you."
76,Dinner,"If you could have anything in the world for dinner tonight, what would it be?"
942,How Trump Politicizes Intelligence Gathering,He is trying to both politicize and marginalize the intelligence community.
975,A Ticket to Hell,"As he’s done all his life, Donald Trump sold those around him a bill of goods."
791,And Now: Freedom  From Health,Janis Joplin had President Trump’s number.
842,Connecting Trump’s Dots to Russia,"Coincidences happen, but there are reasons to suspect collusion."
1435,A School Where Raising the Bar Lifts Hope,Inviting low-income high-schoolers into advanced-level courses can get them past fears that they’re not college material.
2229,Donald Trump’s Political Stew,The president’s electoral coalition has been 50 years in the making. It may prove to be enduring.
261,"Questions for: ‘The Parts of Obamacare Republicans Will Keep, Change or Discard’",How would the proposed legislation change the Affordable Care Act?
453,Should ‘Despised Dissenters’ Be Allowed to Speak on College Campuses?,Do college campuses have a duty to exemplify how to debate unpopular ideas with civility?
601,"A Benighted Soul, at Your Service",Olivier Assayas’s new film is both a supernatural thriller and an unnerving inquiry into the drift and mystery of modern life.
1000,"This Time, Dressed to Kill","In this remake, the beast King Kong has a new look and a new beauty (Brie Larson), who’s feistier than her predecessors."
4393,Baylor’s Pride Turns to Shame in Rape Scandal,"Sexual assault accusations piled up while the university made football its top priority. The victims, furious alumni and the authorities are seeking answers."
834,Race and Class Define Men Who Take ‘Women’s Jobs’,Research shows that the men moving into traditionally female jobs tend to be disadvantaged in terms of race and class.
978,A Running Conversation With My Brother,"No one would have pegged my brother as a good running companion. But after he died in 2009, that’s what he became."
1053,New York Today: A Bookbinder’s Craft,"Thursday: A craftsman’s workshop, the “Fearless Girl,” and the death of Notorious B.I.G."
1536,"Trump Jumps In, Trying to Propel Health Care Bill","The president is marshaling the full power of his office to woo Republicans, disarm conservatives and win passage of a bill to repeal and replace the Affordable Care Act."
1279,Obamacare Uncertainty: Readers Speak Out on Early Retirement,One reader says she may have to marry her boyfriend to get him health insurance.
1201,Angry at South Korea: No More Kimchi Here,Anti-South Korean sentiment has broken out across China after the South’s embrace of a U.S. missile defense system that China says can be used to spy on its territory.
1149,"Sued Over Bail, Sheriff Sides With Plaintiffs","In a Houston lawsuit, officials are defending a system that jails the poor, but the D.A. and sheriff say they can’t support it."
1156,Chief of E.P.A. Bucks Studies About Climate,"The statement by Scott Pruitt, the head of the Environmental Protection Agency, contradicts scientific consensus that carbon dioxide is heating the planet."
1003,A Death in the I.C.U.,"For some patients, the intensive care unit is the right place to be, even if there is no cure in sight."
728,Soul Food Built on Spice and Memories,"Deviled eggs, deep-fried corn on the cob and scrapple honor the chef’s roots at this restaurant in Windsor Terrace, Brooklyn."
1155,Neymar Proves Ready for the Baton,"Neymar showed why there is no denying his greatness on Wednesday, fueling the greatest comeback in UEFA Champions League history."
1654,Irish Whiskeys on Parade,"Sales have soared over the last 15 years, and so has the level of quality for this distinctive spirit."
1054,Study Backs Use of Tests  to Find Cause of Stillbirth,A new study found that two tests were particularly effective in helping to determine the cause of a stillbirth.
1189,A School Looks Past ‘No Excuses’,The Ascend Public Charter Schools network tries doing away with unforgiving disciplinary codes.
752,Ideas for a City Without Cash in the Forecast,The Independent Budget Office offered 90 ways for the city to either save money it now spends or to collect some from stones unturned.
292,Bar Mitzvah in the Blizzard of ’69,Snowed in on Long Island with kosher egg rolls and pigs-in-a-blanket.
1027,White House Raises Doubts on Budget Office,"President Trump had a habit during his campaign for “working the referees,” and the Congressional Budget Office is now a target of his efforts to cast doubt on institutions long seen as trustworthy."
1437,Leader Is Ousted in South Korea,"The president’s ouster, after months of turmoil over a corruption scandal, is expected to shift the country’s politics to the opposition on the left."
915,Dismal Turnout,The clues are en fuego in Pawel Fludzinski’s creation.
1166,Fixing What Ain’t Broken,"The director Sam Gold and his cast, led by an intrepid Sally Field, have deconstructed the Tennessee Williams classic. But don’t expect the pieces to be reassembled."
75,An Early Spring,"What was the weather like where you live this winter? Are you seeing signs of spring, and, if so, did they come earlier than usual?"
576,Afghanistan Is Now Mr. Trump’s War,Requests for a new troop surge in Afghanistan must be met with skepticism.
790,A Bill  So Bad It’s  Awesome,What were Republicans thinking? Were they even thinking?
832,The Bombs  of Bannon,"Like Thomas Cromwell, the Trump-whisperer in the West Wing is brilliant, cunning and full of contradictions."
826,The G.O.P.  Health Care  Crackup,"It’s not just a bill, it’s the end of an era in American politics."
745,End Partisan Warfare on Health Care,"Republicans should ask Democrats for help in replacing Obamacare, and Democrats should say yes. That will lead to the most lasting and effective plan."
1783,"To Fix Schools, Go Get the Principal",Education reform often skips over one of the best solutions for helping students. Chicago shows how it can be done.
248,"Questions for: ‘Trauma, Then Triumph: The New York Times College Scholarship Winners’",What academic and personal strengths — and what similar obstacles and challenges — do the scholarship winners have in common?
447,Does Better Sports Equipment Unfairly Improve Athletic Ability?,What lines should be drawn when it comes to the newest sports equipment?
1208,Steady Job Gains Set Stage for Fed  to Raise Key Rate,"The economy added 235,000 jobs and unemployment fell to 4.7 percent in the first full month of President Trump’s term, continuing an upturn in the labor market."
1487,When Good Mothers Bully Back,A good mother does bad things on behalf of her bullied son. Should she feel triumphant or ashamed?
1911,Friday Mailbag: A Surprising Advertisement and Some Missing Fathers,Should The Times run ads that argue against scientific consensus? And was reporting on the recent WikiLeaks document dump the right call?
692,Who Pays More in Republican Plan,"The Republicans’ plan offers less help to older and lower-income Americans, especially in rural areas, according to a new Upshot analysis."
574,Teaching With: ‘Slow to Show’,"The lowriders defy expectations — extreme in their self-expression, admirable in their individuality and passionate in their pursuit of the American dream."
1020,My Grandmother’s Story Is Ending as Mine Begins,"As my grandma’s mind deteriorated, I felt myself holding on to her by becoming the woman we both wanted to be."
1257,What’s Under Discussion at One of China’s Biggest Political Gatherings,The policy proposals and the online comments that those attract offer a look at the issues on the minds of Chinese people today.
1011,The Story After the Story for a 16-Year-Old Refugee With Dashed Hopes,"Just days after President Trump signed his first travel ban, Sardar Hussain “did something about which I still shake my head and chuckle: He decided to get on the airplane anyway.”"
973,Advice for Trump: Ask an Economist,Donald J. Trump seems averse to talking with professional economists. He should get over it.
1232,Pressed Into Caregiving Too Soon,"The burdens of elder care can be particularly difficult when they come years before expected, in what researchers call “off-time events.”"
661,The Terms of Immigration Reporting,"When it comes to reporting on immigration, even the most basic terminology is fraught with political implications."
961,"Another Woman at March Madness Mike, Only 22 Years Later","In 2017, why must it be news that Debbie Antonelli, who has worked men’s games since the mid-1990s, will be a broadcaster for the men’s tournament?"
866,"So, That Was Good News. Should the President Get the Credit?","The answer is more ambiguous than you might think, and boils down to your philosophy of how the economy works."
1730,The Sleeping Cure,"What jet lag, insomnia and mental illness have in common."
389,Beef Barley Soup Lightens Up,"Fragrant with spices, tangy with lemon, and filled with vegetables, this is not your typical bowl."
1058,"Detentions, Travel Orders and the Effect on U.S. Tourism",Travelers and industry executives say that travel bans issued by President Trump and high-profile detentions could discourage visits to the country.
429,A French Classic Worth Getting to Know,"Braise lean, tender rabbit with wine, herbs, mustard and crème fraîche for a classic and marvelous meal."
1104,F.D.A. Official Under Bush Is Trump’s Choice to Lead Agency,"Scott Gottlieb, a partner at a venture capital fund, has longstanding ties to the drug and biotech industries."
1744,Grim Toll in Mosul Reflects New Urgency in ISIS Fight,"Times reporters are in Mosul, Iraq, to assess reports that less time is being taken to weigh risks for civilians as the battle intensifies."
1164,Democrats Urge Head of Inquiry to Stand Aside,The demands followed revelations that the committee’s chairman had met on White House grounds with a source who showed him secret intelligence reports.
1498,The Force Known as ‘Miss Ella’,"A hard-driving businesswoman, “Hurricane Ella” has mentored generations of chefs, including Paul Prudhomme and Emeril Lagasse."
1239,Opposition Leader Behind Anti-Putin Protests Receives a 15-Day Sentence,Mr. Navalny was arrested on Sunday during mass anticorruption protests across Russia that he had helped to inspire on social media.
704,"Kaepernick Is Unemployed. Is It Because of His Arm, or His Knee?","Other quarterbacks, perhaps lesser ones, have landed spots on N.F.L. rosters. Some wonder if Kaepernick’s protests have kept teams away."
520,First Glance at the New Bar in the Old Four Seasons Space,"The Bar, as it will be called when it opens this spring, will retain a midcentury spirit in design and drinks."
220,Eat: Fruit Juice Not Tied to Obesity,A 6- to 8-ounce daily serving of juice was not tied to excess weight gain in children under 18.
